,id,age,height_cm,weight_kgs,value_euro,finishing,dribbling,volleys,acceleration,crossing,heading_accuracy,body_type,overall_rating
10379,205202,27,185.42,79.8,550000.0,29,41,43,55,41,64,Normal,65
2176,223566,24,185.42,81.2,825000.0,55,60,50,67,33,70,Normal,67
12362,233736,21,182.88,76.2,1400000.0,62,68,45,63,64,38,Lean,67
7888,242720,23,193.04,83.9,350000.0,18,55,28,66,23,52,Normal,61
8625,244202,25,187.96,84.8,400000.0,16,57,27,65,56,62,Normal,63
11806,142270,37,154.94,76.2,90000.0,28,53,50,58,66,47,Normal,67
7641,232603,24,182.88,74.8,290000.0,20,25,23,65,28,56,Normal,61
8157,247473,21,193.04,82.1,475000.0,61,56,44,76,41,70,Lean,62
13097,237340,24,175.26,71.2,1200000.0,69,75,65,87,51,56,Normal,68
12602,209335,25,187.96,77.1,975000.0,54,63,23,72,70,44,Normal,68
3654,223146,23,152.4,78.0,425000.0,60,65,54,68,61,48,Normal,62
12821,244339,25,154.94,74.8,875000.0,35,62,38,67,68,66,Normal,68
6258,246826,22,182.88,76.2,140000.0,23,26,22,69,25,56,Lean,57
11727,202459,26,175.26,74.8,950000.0,63,66,64,72,65,59,Normal,67
613,158800,32,185.42,74.8,3800000.0,60,68,62,42,69,78,Normal,74
2448,202819,26,154.94,68.0,800000.0,61,63,55,67,59,62,Lean,66
15794,165788,32,187.96,88.9,3600000.0,74,69,71,35,51,83,Normal,73
7534,189909,30,182.88,74.8,160000.0,14,11,16,44,17,11,Normal,61
14943,188485,27,185.42,94.8,2400000.0,30,30,21,69,39,64,Normal,71
7841,239418,21,193.04,83.0,375000.0,55,63,47,67,58,58,Lean,61
15076,177673,30,182.88,74.8,2400000.0,66,68,75,67,67,73,Normal,71
3030,216390,23,152.4,78.0,675000.0,62,68,61,85,39,56,Stocky,64
12401,188411,31,190.5,87.1,675000.0,28,48,19,49,32,73,Lean,68
4815,247544,19,172.72,64.9,80000.0,56,50,40,69,45,43,Lean,51
4481,241300,29,182.88,78.0,90000.0,56,62,44,69,43,44,Normal,56
495,201818,26,170.18,62.1,8000000.0,72,73,71,95,69,64,Lean,75
17343,193158,27,185.42,78.9,12000000.0,62,74,72,67,58,68,Lean,78
1710,225950,25,182.88,69.9,1300000.0,65,76,57,82,59,52,Lean,69
15429,240988,22,190.5,76.2,3700000.0,37,52,36,65,26,73,Normal,72
14403,189472,29,185.42,77.1,1600000.0,26,33,40,47,39,71,Lean,70
12617,225204,22,152.4,73.9,1300000.0,58,64,44,66,45,59,Normal,68
2034,184777,30,187.96,86.2,900000.0,66,59,64,39,51,73,Normal,68
7591,213687,24,154.94,83.0,325000.0,38,53,34,63,47,52,Normal,61
6864,247135,20,190.5,79.8,300000.0,19,35,26,60,34,64,Lean,59
8921,241028,22,187.96,84.8,400000.0,16,20,11,35,10,11,Stocky,63
13434,178584,30,187.96,84.8,825000.0,16,35,18,39,30,72,Normal,69
15808,164505,34,193.04,94.8,2000000.0,14,14,15,38,16,12,Normal,73
15378,165490,35,154.94,77.1,1300000.0,53,72,60,68,70,60,Normal,72
17584,183900,30,152.4,69.9,14500000.0,66,88,60,83,79,57,Normal,80
9745,198497,27,185.42,77.1,475000.0,19,32,18,52,34,61,Lean,64
15440,153938,36,152.4,82.1,675000.0,56,71,43,53,78,74,Normal,72
12050,209002,25,193.04,82.1,725000.0,19,12,20,47,18,20,Normal,67
10003,239119,26,152.4,73.0,425000.0,52,61,55,74,64,55,Normal,64
14938,207943,26,152.4,68.9,2900000.0,53,71,56,61,59,58,Lean,71
2569,211874,25,187.96,86.2,650000.0,40,35,32,54,27,65,Normal,66
1108,225563,22,152.4,73.0,3000000.0,49,73,36,78,73,56,Normal,71
10621,237368,21,187.96,78.0,825000.0,36,55,34,52,61,63,Normal,65
17389,216700,26,154.94,76.2,12500000.0,73,86,66,80,72,67,Lean,78
13790,209423,27,187.96,83.9,875000.0,12,12,18,50,15,19,Normal,69
10709,213271,26,185.42,76.2,550000.0,48,64,53,77,56,58,Stocky,65
16216,163488,35,154.94,81.2,1600000.0,52,70,64,77,75,63,Normal,74
2370,214777,26,182.88,78.0,975000.0,68,65,48,71,41,68,Normal,67
10852,199410,29,175.26,73.9,650000.0,66,66,67,76,65,34,Normal,66
13205,198386,33,152.4,77.1,575000.0,57,68,57,76,67,58,Stocky,69
17684,195086,29,187.96,83.9,16000000.0,33,63,42,54,59,80,Normal,81
13176,223229,21,182.88,77.1,,26,53,54,76,64,59,Normal,69
17411,226379,33,187.96,83.9,6000000.0,11,13,11,39,17,15,Stocky,78
15515,225591,22,167.64,59.9,4600000.0,74,77,59,72,75,54,Lean,72
59,210514,24,182.88,73.9,29500000.0,58,85,62,91,86,64,Lean,83
4861,240917,21,152.4,78.9,50000.0,29,47,33,59,35,47,Normal,47
12331,233487,20,152.4,72.1,1200000.0,63,70,58,82,62,48,Normal,67
1928,136553,39,187.96,83.0,260000.0,74,58,83,33,65,67,Normal,68
5051,243369,18,152.4,68.9,80000.0,44,53,41,63,44,35,Normal,51
11855,237226,25,182.88,73.9,900000.0,42,61,32,76,43,61,Normal,67
16446,189462,28,172.72,69.9,5500000.0,68,76,69,88,71,58,Normal,74
777,184926,31,198.12,91.2,2600000.0,10,12,19,47,13,19,Normal,73
1602,206631,27,172.72,69.9,1200000.0,63,70,50,64,73,52,Normal,69
2724,205868,26,170.18,59.9,,53,71,51,79,65,59,Lean,65
8068,238038,19,175.26,71.2,550000.0,45,60,41,71,45,50,Normal,62
7255,242794,19,152.4,64.9,450000.0,48,64,42,69,50,47,Lean,60
8114,237250,24,187.96,83.9,300000.0,9,12,16,55,22,15,Normal,62
8836,202659,26,175.26,69.9,475000.0,60,65,64,83,48,46,Lean,63
16889,230337,31,175.26,68.0,5500000.0,60,76,59,88,75,60,Lean,76
5274,241327,21,187.96,81.2,80000.0,5,12,9,26,14,13,Normal,53
15450,212048,29,152.4,73.0,3000000.0,68,72,63,79,73,58,Normal,72
4944,243434,19,185.42,74.8,50000.0,17,25,20,55,24,41,Normal,50
2141,224558,26,185.42,76.2,825000.0,33,52,27,57,57,70,Normal,67
15486,205630,28,175.26,73.0,2500000.0,37,73,48,89,74,58,Normal,72
14578,234980,28,187.96,82.1,2500000.0,70,72,57,70,47,65,Lean,71
10828,211195,24,185.42,69.9,700000.0,29,59,49,70,63,54,Lean,66
13111,171033,30,195.58,91.2,600000.0,11,17,20,32,15,13,Normal,68
7054,212450,26,182.88,73.0,250000.0,54,58,42,81,60,64,Lean,60
16539,228302,22,182.88,73.0,9000000.0,72,78,58,80,78,59,Lean,75
7436,238345,20,154.94,69.9,325000.0,66,55,38,79,34,45,Lean,60
8362,215131,23,175.26,67.1,425000.0,58,62,49,69,63,54,Lean,62
4915,244172,19,190.5,79.8,50000.0,6,7,7,33,10,8,Lean,49
6787,243360,18,175.26,73.9,280000.0,55,61,48,73,45,41,Normal,59
13353,147899,34,182.88,78.0,,31,44,36,66,58,65,Normal,69
463,194079,27,152.4,67.1,7500000.0,60,77,50,77,70,59,Lean,75
5505,246090,18,152.4,68.0,140000.0,40,56,34,62,42,56,Normal,54
16907,206517,23,175.26,68.0,11500000.0,60,80,66,77,69,36,Lean,76
8204,242077,22,185.42,77.1,475000.0,35,52,37,58,46,55,Normal,62
7191,189331,29,152.4,73.0,170000.0,36,51,38,75,55,59,Lean,60
14867,213092,24,170.18,78.9,2700000.0,43,60,32,67,48,58,Stocky,71
10459,233079,23,182.88,64.9,725000.0,52,63,39,67,41,56,Lean,65
15511,235320,27,195.58,81.2,3700000.0,73,67,64,74,44,78,Lean,72
2033,214730,29,187.96,81.2,725000.0,11,14,10,48,13,17,Lean,68
15586,210964,26,187.96,74.8,3400000.0,17,42,14,55,15,58,Normal,72
13030,209453,31,182.88,76.2,850000.0,64,63,57,75,69,68,Normal,68
399,203128,28,182.88,83.0,7500000.0,49,70,39,62,58,68,Normal,76
5384,240383,18,154.94,64.9,110000.0,55,46,37,67,26,58,Lean,54
17766,203551,27,172.72,67.1,20500000.0,70,78,87,86,77,72,Lean,82
1997,214957,30,152.4,78.0,875000.0,70,65,60,55,40,71,Normal,68
3102,232319,23,182.88,82.1,575000.0,30,39,40,59,39,62,Normal,64
13549,202095,26,154.94,76.2,1200000.0,66,68,57,84,62,36,Normal,69
4609,244781,19,187.96,79.8,120000.0,6,12,6,15,11,24,Normal,54
8270,246144,24,182.88,74.8,400000.0,63,57,55,69,41,60,Lean,62
2962,224270,23,152.4,73.0,600000.0,64,62,48,69,32,65,Normal,64
6315,241918,24,182.88,73.9,170000.0,55,54,44,81,33,53,Normal,58
6913,239676,19,152.4,69.9,280000.0,50,61,52,69,56,49,Lean,59
9079,180810,32,182.88,78.9,325000.0,62,72,61,68,64,54,Normal,63
14012,240060,19,175.26,68.9,3300000.0,39,70,41,84,57,52,Normal,70
3153,245439,21,182.88,76.2,725000.0,28,42,31,65,33,65,Normal,64
16778,110381,38,154.94,78.9,2200000.0,75,76,76,67,75,61,Normal,75
15937,191055,29,185.42,73.9,3000000.0,38,71,46,70,74,69,Normal,73
8224,234387,27,187.96,82.1,300000.0,25,30,20,39,29,65,Stocky,62
12313,229911,22,185.42,67.1,1100000.0,26,67,34,76,67,64,Lean,67
14735,186781,33,187.96,83.0,1400000.0,9,15,7,29,10,9,Normal,71
16677,202350,28,182.88,78.0,7000000.0,78,76,77,66,64,68,Normal,75
5705,244311,20,172.72,59.9,190000.0,59,63,42,70,52,39,Lean,55
11199,232580,21,190.5,87.1,975000.0,30,39,28,64,38,62,Normal,66
894,213260,27,172.72,63.0,3700000.0,66,73,61,76,67,46,Lean,72
17767,205175,25,185.42,78.0,29500000.0,88,76,76,69,58,78,Lean,82
7595,228783,22,152.4,74.8,375000.0,30,52,38,76,47,61,Normal,61
9346,183780,30,185.42,74.8,350000.0,27,22,20,61,21,66,Normal,64
10104,204783,25,175.26,66.2,575000.0,39,54,37,64,69,65,Normal,65
5447,242606,19,193.04,83.9,110000.0,57,54,41,74,43,53,Normal,54
12487,234462,35,187.96,86.2,375000.0,5,14,5,31,13,10,Normal,68
11876,183973,29,152.4,69.9,600000.0,39,42,38,69,56,68,Normal,67
8468,237875,21,185.42,82.1,475000.0,27,31,33,48,33,54,Normal,62
3191,206040,27,152.4,73.9,425000.0,48,62,40,74,65,59,Normal,64
219,216373,31,175.26,68.9,7500000.0,34,77,40,77,78,67,Lean,78
5634,245164,22,187.96,79.8,,7,11,7,29,13,13,Normal,55
1155,243538,22,200.66,96.2,2600000.0,5,14,9,30,13,10,Normal,71
6186,237929,19,175.26,64.0,200000.0,24,59,22,87,59,44,Lean,57
10055,241404,29,182.88,83.0,,19,52,30,55,29,63,Stocky,65
8967,242547,23,185.42,76.2,400000.0,26,60,29,64,60,54,Normal,63
12006,212346,28,152.4,68.0,750000.0,58,67,52,73,60,55,Normal,67
1306,224508,26,182.88,77.1,2800000.0,70,70,68,72,65,53,Lean,71
8962,221556,24,182.88,76.2,475000.0,36,55,40,54,38,57,Normal,63
9541,229543,25,154.94,76.2,500000.0,54,62,44,73,61,63,Normal,64
673,204699,28,152.4,74.8,6000000.0,70,76,61,85,70,77,Normal,74
2123,223265,25,187.96,78.9,925000.0,23,34,24,45,28,70,Normal,67
12733,205455,29,187.96,83.9,725000.0,9,15,8,37,18,13,Normal,68
5280,234393,20,187.96,73.9,110000.0,53,47,42,68,35,51,Lean,53
8034,218846,32,182.88,77.1,200000.0,17,35,25,50,20,61,Normal,62
2496,179822,32,154.94,69.9,425000.0,49,73,63,68,60,68,Lean,66
17630,210896,24,154.94,73.0,19500000.0,73,76,70,77,78,69,Normal,80
5577,241916,21,185.42,69.9,140000.0,48,54,29,62,37,47,Normal,55
2315,169424,32,182.88,77.1,,34,63,49,71,68,50,Normal,67
14140,232329,21,190.5,78.9,2600000.0,69,71,68,64,34,72,Lean,70
10242,237758,22,182.88,72.1,650000.0,60,65,24,75,70,36,Lean,65
14082,209569,30,172.72,64.9,1700000.0,66,71,53,70,70,55,Normal,70
11675,215527,29,182.88,79.8,625000.0,20,53,23,54,55,66,Normal,67
17686,199434,30,154.94,76.2,17500000.0,77,85,73,69,83,63,Normal,81
9317,246256,20,175.26,74.8,675000.0,38,55,31,63,47,50,Normal,64
6893,247376,25,185.42,83.9,170000.0,26,28,25,63,30,63,Normal,59
17608,203747,23,152.4,73.9,16500000.0,52,77,41,94,76,60,Lean,80
6687,206566,25,193.04,88.0,,14,16,20,46,24,23,Normal,59
14198,213107,27,185.42,83.9,,73,59,70,61,49,66,Normal,70
4467,203099,25,175.26,78.0,110000.0,58,49,33,63,52,53,Normal,56
17496,202695,26,193.04,81.2,13500000.0,36,65,40,55,59,80,Normal,79
6810,241034,20,185.42,72.1,300000.0,34,56,34,70,56,51,Lean,59
15540,211239,23,170.18,66.2,4200000.0,66,73,69,84,73,61,Normal,72
627,210287,25,187.96,84.8,7500000.0,67,72,73,76,55,71,Stocky,74
12205,237882,26,182.88,74.8,850000.0,44,57,66,58,56,47,Normal,67
6316,239358,24,187.96,73.9,140000.0,9,10,8,39,7,20,Normal,58
1465,182180,32,182.88,79.8,1200000.0,46,56,51,67,55,70,Lean,70
68,222737,22,172.72,73.9,31500000.0,75,85,71,87,79,57,Normal,82
5267,228022,24,185.42,74.8,60000.0,17,18,17,52,17,17,Normal,53
1029,182440,30,152.4,69.9,3000000.0,73,70,66,85,68,52,Lean,72
9401,236242,25,170.18,66.2,,29,52,31,57,47,55,Lean,64
11031,204217,26,185.42,73.9,825000.0,67,60,56,58,39,70,Stocky,66
3633,231834,21,182.88,77.1,475000.0,39,57,37,62,46,54,Normal,62
5398,230129,22,170.18,67.1,120000.0,41,48,37,71,52,38,Lean,54
13266,139229,38,175.26,79.8,140000.0,45,59,50,34,68,67,Normal,69
16172,142780,34,182.88,78.9,1700000.0,45,57,23,62,38,78,Normal,74
15657,225263,22,193.04,88.9,4900000.0,32,54,32,63,28,70,Normal,73
6758,243896,26,185.42,74.8,160000.0,25,39,32,66,56,56,Lean,59
4020,242344,19,154.94,79.8,450000.0,31,59,33,75,59,58,Normal,60
14476,226568,20,154.94,69.9,,63,68,54,74,62,53,Normal,70
3042,213334,25,182.88,79.8,550000.0,55,67,53,77,63,49,Lean,64
1939,191096,29,182.88,79.8,700000.0,49,68,57,59,57,67,Stocky,68
12717,142998,41,152.4,73.0,60000.0,15,22,12,53,25,13,Normal,68
3787,232290,23,182.88,73.9,300000.0,37,53,53,69,42,55,Lean,61
4775,243465,19,154.94,74.8,70000.0,24,20,25,61,27,42,Normal,51
14162,187265,31,167.64,58.1,1700000.0,57,76,53,76,64,47,Lean,70
12683,229277,23,182.88,81.2,1000000.0,29,60,27,66,62,65,Normal,68
10869,208111,24,185.42,77.1,725000.0,40,59,35,67,63,60,Lean,66
10581,220230,23,193.04,84.8,650000.0,19,45,24,34,29,60,Lean,65
508,171896,31,182.88,81.2,4500000.0,52,51,46,55,61,71,Normal,75
12448,179947,32,190.5,78.9,800000.0,65,65,69,53,60,70,Lean,68
13871,172529,29,152.4,79.8,1400000.0,26,67,62,70,77,64,Normal,70
11812,234172,24,187.96,83.9,825000.0,47,64,26,74,64,54,Normal,67
4804,243068,22,185.42,79.8,60000.0,25,46,28,58,39,42,Normal,51
11877,242341,21,187.96,71.2,1100000.0,66,70,58,69,52,62,Lean,67
3082,238195,24,182.88,74.8,525000.0,44,61,48,81,58,58,Lean,64
13478,214922,26,167.64,69.9,1200000.0,68,69,52,91,52,56,Normal,69
6432,243871,18,152.4,64.9,250000.0,54,62,49,61,57,48,Lean,58
5419,247237,17,185.42,76.2,130000.0,29,59,28,67,51,55,Lean,54
10084,239095,21,154.94,73.0,675000.0,26,58,33,68,62,56,Normal,65
11660,175598,33,185.42,83.9,575000.0,56,59,54,41,54,64,Stocky,67
16328,228698,23,182.88,74.8,8500000.0,71,73,76,79,71,59,Lean,74
11086,173480,33,182.88,78.0,350000.0,45,65,43,63,69,61,Lean,66
11964,219527,26,175.26,66.2,800000.0,36,66,27,70,61,61,Normal,67
8208,176792,32,187.96,82.1,240000.0,64,58,64,53,59,47,Lean,62
16768,189234,29,182.88,74.8,6500000.0,71,74,67,79,73,52,Normal,75
2784,228974,23,152.4,73.9,625000.0,54,61,46,70,48,58,Lean,65
3716,238576,21,193.04,88.0,400000.0,22,26,22,47,23,55,Normal,62
209,213666,23,190.5,88.0,14500000.0,65,82,54,68,62,58,Normal,78
14175,216698,27,175.26,71.2,1900000.0,55,74,38,77,62,51,Lean,70
7863,236842,18,170.18,58.1,525000.0,63,65,47,73,52,65,Normal,61
16,232363,24,187.96,79.8,53500000.0,42,59,40,70,40,82,Normal,86
3922,202000,31,187.96,82.1,200000.0,60,55,69,67,48,53,Normal,60
701,208339,28,182.88,82.1,6000000.0,75,74,74,78,56,74,Lean,74
17221,192123,27,187.96,92.1,10500000.0,78,66,69,68,46,83,Normal,77
1174,214376,28,172.72,69.9,2000000.0,44,64,23,78,70,59,Lean,71
4570,244860,18,182.88,67.1,180000.0,58,60,42,67,33,50,Lean,55
1354,235047,25,165.1,62.1,2400000.0,66,78,58,89,59,46,Normal,70
14254,198230,32,187.96,82.1,1200000.0,40,51,14,54,42,71,Normal,70
11170,208014,25,190.5,72.1,700000.0,50,51,35,64,53,65,Normal,66
7010,230136,22,175.26,69.9,300000.0,42,58,30,62,53,46,Normal,60
9721,235627,25,193.04,79.8,525000.0,39,58,31,73,45,61,Lean,64
15338,192129,29,190.5,84.8,2500000.0,13,14,11,55,11,13,Normal,72
2785,229741,26,152.4,78.9,550000.0,47,65,33,70,63,51,Normal,65
824,234924,22,187.96,73.9,5500000.0,75,77,61,89,66,72,Lean,73
15652,206577,27,187.96,73.9,4600000.0,63,73,76,65,75,55,Lean,73
2862,231353,21,190.5,86.2,975000.0,61,68,58,80,58,47,Lean,65
14247,236636,21,182.88,69.9,2700000.0,49,67,47,69,59,66,Normal,70
4049,241114,23,187.96,73.0,300000.0,59,62,49,78,46,50,Normal,60
8916,231301,23,172.72,66.2,,42,57,37,67,65,42,Stocky,63
2954,176383,32,187.96,73.0,400000.0,59,63,50,67,58,62,Lean,65
11692,202469,29,187.96,86.2,650000.0,9,13,10,39,13,14,Normal,67
1318,216076,29,172.72,68.0,1800000.0,50,70,52,87,68,48,Normal,70
12113,199510,32,193.04,86.2,675000.0,68,54,62,46,47,76,Normal,67
11335,173654,31,170.18,64.9,600000.0,64,68,55,74,59,62,Lean,66
484,236639,24,185.42,83.0,8000000.0,49,75,45,60,45,65,Normal,75
7026,230124,20,175.26,71.2,425000.0,37,42,35,55,35,66,Lean,60
6983,243975,19,182.88,73.9,325000.0,54,61,47,69,54,47,Normal,59
7871,224039,27,175.26,69.9,300000.0,61,63,54,68,48,70,Normal,61
15810,244376,21,182.88,73.0,5500000.0,58,46,34,69,34,40,Lean,73
13612,224344,27,154.94,79.8,1200000.0,67,68,59,68,35,70,Normal,69
4512,236774,21,175.26,69.9,,47,49,39,76,53,58,Lean,56
13490,214918,28,154.94,76.2,1100000.0,63,72,58,60,75,55,Stocky,69
11102,226721,26,152.4,73.9,625000.0,17,13,16,59,18,18,Normal,66
5824,234692,26,182.88,83.0,90000.0,24,49,31,70,46,46,Normal,56
17143,192708,29,182.88,73.9,9000000.0,79,74,75,67,76,76,Normal,77
7246,198253,29,185.42,83.9,170000.0,11,11,18,32,17,12,Normal,60
4247,230980,24,190.5,84.8,150000.0,39,54,29,64,54,58,Normal,58
217,216065,26,193.04,87.1,8500000.0,18,19,12,48,13,18,Lean,78
2118,214034,29,190.5,81.2,650000.0,10,11,13,45,17,14,Normal,67
14291,228173,28,182.88,78.0,1900000.0,72,71,65,74,69,55,Normal,70
6319,231933,26,185.42,74.8,,33,45,31,58,41,55,Lean,58
11875,184229,30,154.94,78.0,550000.0,40,57,36,75,69,50,Normal,67
2953,212736,24,185.42,79.8,525000.0,52,53,31,61,38,68,Stocky,64
16370,193091,28,190.5,82.1,5500000.0,32,50,40,34,30,70,Normal,74
5833,239805,22,190.5,83.0,110000.0,18,27,31,58,22,53,Stocky,56
8885,230802,24,167.64,55.8,475000.0,45,64,48,74,54,38,Lean,63
13484,214153,27,152.4,72.1,1200000.0,65,72,70,79,62,57,Lean,69
1506,214980,29,187.96,78.9,1800000.0,68,63,59,66,54,72,Normal,70
14607,216793,26,195.58,84.8,3000000.0,71,69,65,67,30,73,Normal,71
13618,223575,28,182.88,78.9,1100000.0,60,73,66,61,66,46,Normal,69
10726,239380,19,152.4,68.9,950000.0,55,71,48,73,64,58,Lean,65
14975,241720,23,187.96,76.2,3400000.0,72,65,67,61,36,72,Lean,71
17205,212616,24,152.4,69.9,12000000.0,68,83,57,78,76,50,Normal,77
145,110677,34,187.96,83.0,6000000.0,11,13,13,46,11,12,Normal,80
3192,224470,23,152.4,77.1,625000.0,39,59,31,54,65,60,Lean,64
11511,243231,21,182.88,77.1,1100000.0,63,68,69,75,59,38,Normal,66
12780,163201,34,190.5,88.9,450000.0,9,10,15,32,11,20,Normal,68
4656,236448,21,175.26,64.9,130000.0,55,60,47,55,54,40,Lean,54
15159,224739,23,187.96,77.1,4400000.0,70,73,56,78,68,70,Lean,72
11659,213743,34,193.04,83.9,400000.0,72,57,61,37,34,78,Lean,67
13397,204709,25,152.4,77.1,1400000.0,70,67,69,70,52,65,Normal,69
17239,167514,34,182.88,72.1,3400000.0,58,74,64,74,75,72,Normal,77
4241,228424,23,152.4,73.9,180000.0,52,57,44,74,59,49,Normal,58
6910,244799,24,193.04,79.8,200000.0,24,21,25,60,41,61,Normal,59
4288,228019,24,175.26,67.1,180000.0,57,53,57,73,28,49,Normal,58
8888,234897,23,182.88,78.0,550000.0,62,57,47,78,56,64,Normal,63
12539,228814,20,154.94,71.2,1900000.0,64,72,50,79,67,50,Lean,68
12231,232755,20,170.18,64.0,1500000.0,35,68,34,86,66,45,Normal,67
7670,230801,25,182.88,63.0,290000.0,43,62,32,65,51,58,Lean,61
5787,245485,17,154.94,69.9,180000.0,59,55,44,55,31,66,Normal,56
12376,207618,29,187.96,83.9,700000.0,27,35,31,51,29,64,Normal,67
8314,247150,19,175.26,74.8,500000.0,36,61,38,68,58,58,Normal,62
13829,214274,27,154.94,79.8,925000.0,12,15,12,43,17,12,Normal,69
9629,236937,29,152.4,73.0,450000.0,60,62,52,73,64,58,Normal,64
470,230465,27,175.26,72.1,7000000.0,71,77,51,66,73,44,Stocky,75
165,210411,24,172.72,71.2,17500000.0,67,84,63,76,78,56,Normal,79
16167,193470,27,152.4,73.0,5500000.0,59,73,39,77,73,68,Lean,74
17839,235243,19,187.96,88.9,31500000.0,53,65,40,62,57,82,Normal,83
9461,237762,29,165.1,59.0,450000.0,58,65,62,65,62,41,Normal,64
10407,225927,25,172.72,64.9,600000.0,32,61,27,77,65,54,Lean,65
17540,226851,22,185.42,76.2,14500000.0,37,66,57,69,66,73,Lean,79
7069,247255,20,152.4,72.1,280000.0,28,53,26,78,55,43,Normal,60
14256,233301,21,185.42,69.9,2200000.0,53,65,49,75,66,65,Normal,70
6950,238363,22,182.88,76.2,240000.0,66,70,56,65,58,51,Lean,59
8125,244923,25,182.88,73.9,375000.0,61,65,46,70,50,40,Normal,62
14236,233825,24,154.94,74.8,2500000.0,70,69,66,74,35,71,Normal,70
17863,193082,30,152.4,72.1,29500000.0,67,90,70,89,80,58,Lean,84
1783,203746,24,182.88,77.1,1400000.0,59,68,63,74,67,59,Lean,69
10113,177389,33,175.26,83.0,400000.0,58,68,44,68,70,40,Normal,65
14116,203159,32,193.04,93.0,1200000.0,21,32,19,53,30,73,Stocky,70
15137,176619,33,185.42,78.0,2500000.0,71,68,68,75,68,77,Lean,72
3276,224805,27,154.94,73.9,425000.0,49,58,39,54,61,59,Lean,63
3040,242006,19,182.88,74.8,675000.0,51,63,35,73,62,54,Lean,64
11329,234839,32,152.4,69.9,425000.0,45,63,32,63,52,69,Normal,66
9630,236681,20,172.72,68.0,600000.0,48,65,40,82,60,59,Lean,64
3784,207430,25,175.26,73.0,325000.0,55,57,57,72,63,52,Normal,61
12163,209737,30,172.72,69.9,575000.0,42,62,57,63,63,56,Stocky,67
14704,214193,26,182.88,72.1,2400000.0,27,59,23,78,67,64,Lean,71
8782,224433,23,187.96,73.9,425000.0,17,47,27,55,54,64,Lean,63
11953,144010,33,175.26,69.9,450000.0,69,67,68,58,61,58,Lean,67
8768,206521,25,190.5,86.2,500000.0,60,60,54,62,46,63,Normal,63
3764,234288,21,187.96,91.2,325000.0,9,8,7,33,13,13,Normal,61
2999,209193,28,185.42,86.2,375000.0,11,16,7,47,12,16,Normal,64
14318,161857,32,182.88,72.1,1200000.0,53,69,54,77,71,58,Lean,70
15579,231448,19,175.26,71.2,5500000.0,71,81,49,89,62,39,Lean,72
3589,239458,21,185.42,69.9,475000.0,61,65,44,69,49,56,Lean,62
7204,220041,24,175.26,68.9,240000.0,17,68,23,72,49,41,Normal,60
6349,232675,22,154.94,67.1,220000.0,25,38,22,52,25,62,Normal,58
4136,224620,25,154.94,67.1,200000.0,42,57,33,63,42,50,Lean,59
3098,161921,33,193.04,88.0,230000.0,13,11,12,50,10,8,Normal,64
11863,244648,24,190.5,89.8,825000.0,32,53,46,66,51,70,Normal,67
917,192540,33,175.26,72.1,2400000.0,63,74,45,72,71,42,Normal,72
13417,222881,23,167.64,64.0,1200000.0,35,71,36,77,66,49,Normal,69
260,229636,23,187.96,76.2,12000000.0,73,79,68,72,73,73,Normal,77
10421,212356,26,152.4,69.9,700000.0,65,68,53,73,30,48,Normal,65
4585,242109,20,187.96,77.1,170000.0,26,31,30,64,37,56,Lean,55
1736,173245,34,172.72,71.2,625000.0,59,71,67,71,59,48,Normal,69
10435,223873,25,182.88,81.2,575000.0,21,27,29,53,24,67,Stocky,65
10363,223125,25,190.5,84.8,575000.0,39,61,49,64,39,56,Normal,65
6420,242600,19,185.42,73.9,230000.0,47,56,45,73,38,49,Normal,58
1645,182621,34,193.04,84.8,425000.0,46,55,39,43,56,73,Normal,69
3666,224447,23,152.4,73.9,350000.0,42,57,42,80,57,59,Normal,62
17828,216354,27,152.4,73.0,30500000.0,86,87,85,78,76,69,Normal,83
2926,236258,24,175.26,64.0,,53,62,48,72,68,62,Lean,65
5880,210330,25,152.4,73.9,120000.0,57,56,39,74,50,51,Normal,56
7445,237316,19,185.42,73.9,375000.0,29,29,37,55,30,63,Lean,60
11270,226928,31,152.4,73.0,475000.0,32,64,29,74,58,52,Normal,66
13263,228829,28,193.04,81.2,1000000.0,21,33,23,52,23,74,Normal,69
1061,213725,24,172.72,63.0,4200000.0,53,72,59,75,64,64,Lean,72
180,192678,29,185.42,78.9,13000000.0,78,75,81,65,56,80,Normal,79
3603,200821,26,175.26,77.1,350000.0,57,60,52,72,60,45,Normal,62
13444,243862,23,170.18,66.2,1500000.0,55,67,59,75,67,49,Normal,69
3921,244496,22,185.42,79.8,240000.0,23,41,33,74,47,58,Normal,60
7314,246603,19,187.96,79.8,300000.0,8,8,5,37,10,12,Normal,60
1711,222109,22,182.88,76.2,1600000.0,48,70,43,78,71,58,Stocky,69
10697,200989,30,193.04,89.8,375000.0,11,15,12,38,14,18,Normal,65
6533,243795,19,185.42,81.2,280000.0,57,52,45,74,39,60,Normal,58
11014,184763,30,187.96,84.8,425000.0,14,11,14,39,12,14,Normal,66
2193,167512,31,175.26,67.1,725000.0,60,67,39,93,63,35,Normal,67
2382,183559,30,152.4,78.9,475000.0,30,55,42,67,59,71,Normal,66
12265,213798,24,152.4,71.2,1100000.0,64,66,56,44,73,49,Normal,67
15256,197031,25,187.96,78.9,4100000.0,73,64,73,66,61,72,Lean,72
6909,209728,25,193.04,83.0,200000.0,54,51,57,53,44,66,Normal,59
